status,Chipset,SIM,Cardslot,CPU,GPU,Display,price[EUR],weight[g],length[mm],width[mm],thikness[mm],Internal memory[GB],Internal memory RAM[GB],Video[fps],Battery Type[mAh],Announced,OS
161,19,125,73,116,10,16,0.032388726084354905,0.1740041928721174,0.36989247311827955,0.19732937685459945,0.3428571428571428,0.2440944881889764,0.2,0.0,0.3870330755306895,0.02649006622516556,0
161,19,125,73,116,10,16,0.03255366156773094,0.1740041928721174,0.36989247311827955,0.19732937685459945,0.3428571428571428,0.2440944881889764,0.2,0.0,0.3870330755306895,0.01986754966887417,0
161,19,125,73,116,10,16,0.02301425349433082,0.1740041928721174,0.36989247311827955,0.19732937685459945,0.3428571428571428,0.2440944881889764,0.2,0.0,0.3870330755306895,0.01324503311258278,0
161,19,125,106,116,9,16,0.08361845436273531,0.18029350104821804,0.36313364055299535,0.19535113748763605,0.3333333333333334,0.2440944881889764,0.33333333333333337,0.0,0.3870330755306895,0.059602649006622516,0
161,53,125,106,116,53,1,0.9999999999999999,0.2966457023060797,0.3539170506912442,0.8709198813056381,0.0,1.0,1.0,0.0,0.4363995392463387,0.0,0
161,19,125,106,4,9,4,0.3218159780290593,0.169811320754717,0.37695852534562213,0.18397626112759646,0.24761904761904768,0.49606299212598426,0.7333333333333334,0.0,0.32943886786243215,0.033112582781456956,0
161,53,125,106,116,53,4,0.5676849195268269,0.19811320754716982,0.3514592933947773,0.5202769535113749,0.028571428571428636,0.49606299212598426,0.7333333333333334,0.0,0.3376666118150403,0.033112582781456956,0
161,66,125,73,116,2,5,0.38279991408012026,0.5712788259958071,0.7416282642089093,0.728981206726014,0.16190476190476183,0.49606299212598426,0.7333333333333334,0.0,0.8058252427184467,0.03973509933774834,0
161,53,125,106,116,53,1,0.22592325513601424,0.14360587002096437,0.35084485407066046,0.18595450049455986,0.18095238095238092,0.49606299212598426,0.7333333333333334,0.0,0.29652789205199936,0.046357615894039736,0
161,19,27,106,2,10,16,0.06627721435475704,0.008385744234800839,0.006144393241167417,0.028189910979228516,0.4476190476190475,0.05511811023622047,0.06666666666666667,0.0,0.011436564094125391,0.033112582781456956,1
